id,name,popularity,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4h6iaiMchTUHlK5ovMiJ3h,JUST FOR FUN,80,COWBOY CARTER,0.466,0.434,9,-8.559,1,0.0382,0.549,1.3e-05,0.18,0.127,72.403,audio_features,spotify:track:4h6iaiMchTUHlK5ovMiJ3h,https://api.spotify.com/v1/tracks/4h6iaiMchTUHlK5ovMiJ3h,https://api.spotify.com/v1/audio-analysis/4h6iaiMchTUHlK5ovMiJ3h,204487,4
1Y7vNzQrybb2ICYKmbOfdt,II HANDS II HEAVEN,80,COWBOY CARTER,0.674,0.602,7,-7.866,1,0.224,0.539,1.69e-06,0.0906,0.533,123.943,audio_features,spotify:track:1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/tracks/1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/audio-analysis/1Y7vNzQrybb2ICYKmbOfdt,341312,4
7CA0mEKqEZ0WFAIlTS4uEl,SWEET ★ HONEY ★ BUCKIIN',80,COWBOY CARTER,0.73,0.639,10,-8.358,0,0.185,0.208,0.00041,0.118,0.337,124.014,audio_features,spotify:track:7CA0mEKqEZ0WFAIlTS4uEl,https://api.spotify.com/v1/tracks/7CA0mEKqEZ0WFAIlTS4uEl,https://api.spotify.com/v1/audio-analysis/7CA0mEKqEZ0WFAIlTS4uEl,296186,4
4XqBLxDaEdlqkHlSlb1Rzq,Enough (Miami),72,Enough (Miami),0.926,0.791,5,-4.553,1,0.273,0.00255,0.0,0.0772,0.473,139.166,audio_features,spotify:track:4XqBLxDaEdlqkHlSlb1Rzq,https://api.spotify.com/v1/tracks/4XqBLxDaEdlqkHlSlb1Rzq,https://api.spotify.com/v1/audio-analysis/4XqBLxDaEdlqkHlSlb1Rzq,158727,5
3B7EZgquNKHrSIo2tEc8mK,FLAMENCO,80,COWBOY CARTER,0.497,0.351,7,-9.248,0,0.0274,0.764,1.5e-06,0.136,0.492,105.032,audio_features,spotify:track:3B7EZgquNKHrSIo2tEc8mK,https://api.spotify.com/v1/tracks/3B7EZgquNKHrSIo2tEc8mK,https://api.spotify.com/v1/audio-analysis/3B7EZgquNKHrSIo2tEc8mK,100364,4
6RWCvgNCEqXuVZYnDTPDEh,Wildflowers and Wild Horses,64,Bell Bottom Country,0.431,0.628,10,-6.259,0,0.0384,0.403,8.14e-06,0.272,0.277,118.016,audio_features,spotify:track:6RWCvgNCEqXuVZYnDTPDEh,https://api.spotify.com/v1/tracks/6RWCvgNCEqXuVZYnDTPDEh,https://api.spotify.com/v1/audio-analysis/6RWCvgNCEqXuVZYnDTPDEh,250880,4
2dklP2sRuvcJROlrM8F7Dp,DESERT EAGLE,79,COWBOY CARTER,0.691,0.489,0,-8.461,1,0.0539,0.645,1.61e-06,0.328,0.662,85.032,audio_features,spotify:track:2dklP2sRuvcJROlrM8F7Dp,https://api.spotify.com/v1/tracks/2dklP2sRuvcJROlrM8F7Dp,https://api.spotify.com/v1/audio-analysis/2dklP2sRuvcJROlrM8F7Dp,72449,4
4iEoDBAgMJIzest7VsDgmT,Get In With Me,76,Get In With Me,0.612,0.649,1,-5.553,0,0.384,0.133,0.0,0.11,0.219,158.9,audio_features,spotify:track:4iEoDBAgMJIzest7VsDgmT,https://api.spotify.com/v1/tracks/4iEoDBAgMJIzest7VsDgmT,https://api.spotify.com/v1/audio-analysis/4iEoDBAgMJIzest7VsDgmT,120793,4
0HD8mbiPjp3o94X3EaZp0o,exes,56,exes,0.838,0.569,5,-6.324,0,0.0621,0.152,0.000136,0.102,0.551,136.965,audio_features,spotify:track:0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/tracks/0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/audio-analysis/0HD8mbiPjp3o94X3EaZp0o,159400,4
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,92,Scared To Start,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,audio_features,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,159636,4
